================================================================================
  PLUS33 Coffee ERP - Live Database Table Row Counts
================================================================================

Table: advance_shipping_notices                 | Count: 0
Table: analytics_refresh_log                    | Count: 15
Table: announcement_reactions                   | Count: 0
Table: announcement_reads                       | Count: 0
Table: announcements                            | Count: 0
Table: appointment_slots                        | Count: 0
Table: ar_write_offs                            | Count: 0
Table: asn_lines                                | Count: 0
Table: asset_categories                         | Count: 0
Table: attendance                               | Count: 0
Table: attendance_audit_trail                   | Count: 0
Table: attendance_breaks                        | Count: 0
Table: attendance_corrections                   | Count: 0
Table: attendance_sync_logs                     | Count: 0
Table: bank_account_signatories                 | Count: 0
Table: bank_accounts                            | Count: 0
Table: bank_branches                            | Count: 0
Table: bank_fee_rules                           | Count: 0
Table: bank_relationships                       | Count: 0
Table: bank_statement_lines                     | Count: 0
Table: bank_statements                          | Count: 0
Table: bank_virtual_accounts                    | Count: 0
Table: banks                                    | Count: 0
Table: bi_ai_insight_generation                 | Count: 0
Table: bi_alert_rule                            | Count: 0
Table: bi_alert_trigger                         | Count: 0
Table: bi_analytics_query_history               | Count: 0
Table: bi_analytics_role                        | Count: 0
Table: bi_analytics_snapshot                    | Count: 0
Table: bi_approval_comment                      | Count: 0
Table: bi_approval_history                      | Count: 0
Table: bi_broker_registry                       | Count: 0
Table: bi_business_calendar                     | Count: 0
Table: bi_business_view                         | Count: 0
Table: bi_calculated_measure                    | Count: 0
Table: bi_catalog_dataset                       | Count: 0
Table: bi_catalog_glossary                      | Count: 0
Table: bi_cdc_watermark                         | Count: 0
Table: bi_configuration                         | Count: 0
Table: bi_cube_permission                       | Count: 0
Table: bi_cube_refresh_history                  | Count: 0
Table: bi_dashboard_cache                       | Count: 0
Table: bi_dashboard_definition                  | Count: 0
Table: bi_dashboard_favorite                    | Count: 0
Table: bi_dashboard_share                       | Count: 0
Table: bi_dashboard_subscription                | Count: 0
Table: bi_dashboard_usage                       | Count: 0
Table: bi_dashboard_version                     | Count: 0
Table: bi_dashboard_widget                      | Count: 0
Table: bi_data_contract                         | Count: 0
Table: bi_data_lineage                          | Count: 0
Table: bi_data_source_registry                  | Count: 0
Table: bi_dataset                               | Count: 0
Table: bi_dataset_freshness                     | Count: 0
Table: bi_dataset_permission                    | Count: 0
Table: bi_dimension_health_status               | Count: 0
Table: bi_etl_batch_log                         | Count: 0
Table: bi_etl_job                               | Count: 0
Table: bi_etl_job_dependency                    | Count: 0
Table: bi_etl_job_run                           | Count: 0
Table: bi_event_mesh_dead_letter                | Count: 0
Table: bi_event_mesh_registry                   | Count: 0
Table: bi_event_store                           | Count: 0
Table: bi_export_job                            | Count: 0
Table: bi_export_job_item                       | Count: 0
Table: bi_export_permission                     | Count: 0
Table: bi_fact_load_audit                       | Count: 0
Table: bi_feature_flag                          | Count: 0
Table: bi_forecast_accuracy_history             | Count: 0
Table: bi_forecast_model_registry               | Count: 0
Table: bi_forecast_prediction                   | Count: 0
Table: bi_forecast_run                          | Count: 0
Table: bi_governance_classification             | Count: 0
Table: bi_governance_masking_rule               | Count: 0
Table: bi_kpi_definition                        | Count: 0
Table: bi_kpi_dependency                        | Count: 0
Table: bi_kpi_formula_version                   | Count: 0
Table: bi_kpi_permission                        | Count: 0
Table: bi_lineage_step                          | Count: 0
Table: bi_maintenance_log                       | Count: 0
Table: bi_mdm_duplicate_candidate               | Count: 0
Table: bi_mdm_golden_record                     | Count: 0
Table: bi_mdm_merge_request                     | Count: 0
Table: bi_mdm_source_mapping                    | Count: 0
Table: bi_mdm_steward_assignment                | Count: 0
Table: bi_mdm_steward_decision                  | Count: 0
Table: bi_operational_metrics                   | Count: 0
Table: bi_quality_issue                         | Count: 0
Table: bi_quality_result                        | Count: 0
Table: bi_quality_rule                          | Count: 0
Table: bi_row_level_filter                      | Count: 0
Table: bi_scd_change_log                        | Count: 0
Table: bi_scheduled_job                         | Count: 0
Table: bi_schema_evolution_history              | Count: 0
Table: bi_self_service_workspace                | Count: 0
Table: bi_semantic_model                        | Count: 0
Table: bi_semantic_model_version                | Count: 0
Table: bi_system_health                         | Count: 0
Table: bi_transformation_rule                   | Count: 0
Table: bi_usage_log                             | Count: 0
Table: bi_warehouse_build_manifest              | Count: 0
Table: bi_warehouse_capacity_forecast           | Count: 0
Table: bi_warehouse_version                     | Count: 0
Table: bi_workload_queue                        | Count: 0
Table: bom_headers                              | Count: 0
Table: bom_lines                                | Count: 0
Table: bom_substitutes                          | Count: 0
Table: budget_approvals                         | Count: 0
Table: budget_audit_logs                        | Count: 0
Table: budget_consumptions                      | Count: 0
Table: budget_control_caches                    | Count: 0
Table: budget_dimension_sets                    | Count: 0
Table: budget_drivers                           | Count: 0
Table: budget_lines                             | Count: 0
Table: budget_policies                          | Count: 0
Table: budget_reservations                      | Count: 0
Table: budget_revisions                         | Count: 0
Table: budget_snapshot_lines                    | Count: 0
Table: budget_snapshots                         | Count: 0
Table: budget_template_lines                    | Count: 0
Table: budget_templates                         | Count: 0
Table: budget_versions                          | Count: 0
Table: budget_workflow_steps                    | Count: 0
Table: budget_workflow_templates                | Count: 0
Table: budgets                                  | Count: 0
Table: capacity_plans                           | Count: 0
Table: carriers                                 | Count: 0
Table: cash_pool_members                        | Count: 0
Table: cash_pools                               | Count: 0
Table: cash_position_snapshot_audits            | Count: 0
Table: cash_position_snapshot_lines             | Count: 0
Table: cash_position_snapshots                  | Count: 0
Table: cash_transfers                           | Count: 0
Table: chart_of_accounts                        | Count: 2
Table: companies                                | Count: 1
Table: company_leave_policy_overrides           | Count: 0
Table: company_treasury_policies                | Count: 0
